family,sample_id,control,mean_target_correct,mean_wall_loss
short_smooth_spiral,29,same_length_straight_dep,0.88125,0.0
short_smooth_spiral,29,no_dep,0.5,0.0
short_smooth_spiral,29,unfocused_inlet,0.5875,0.056249999999999994
long_low_voltage_spiral,138,same_length_straight_dep,0.8833333333333333,0.052083333333333336
long_low_voltage_spiral,138,no_dep,0.5083333333333333,0.0
long_low_voltage_spiral,138,unfocused_inlet,0.5375000000000001,0.16458333333333333
stepwise_late_dep_spiral,121,same_length_straight_dep,0.675,0.0
stepwise_late_dep_spiral,121,no_dep,0.50625,0.0
stepwise_late_dep_spiral,121,unfocused_inlet,0.5375000000000001,0.10625
v6_balanced_spiral,12,same_length_straight_dep,0.8583333333333334,0.07500000000000001
v6_balanced_spiral,12,no_dep,0.5,0.0
v6_balanced_spiral,12,unfocused_inlet,0.5666666666666667,0.0875
short_serpentine,105,same_length_straight_dep,0.90625,0.04375
short_serpentine,105,no_dep,0.46875,0.06875
short_serpentine,105,unfocused_inlet,0.625,0.03958333333333333
same_length_serpentine,89,same_length_straight_dep,0.8708333333333333,0.06041666666666667
same_length_serpentine,89,no_dep,0.46875,0.07291666666666666
same_length_serpentine,89,unfocused_inlet,0.6416666666666666,0.056249999999999994
