parameter,proposed_screen_range,preferred_initial_range,units,literature_anchor,primary_refs,design_reason
spiral_turns,0.75-5.00,1.00-3.00,turns,Betyar and Ramiar varied 1-5 turns; Patel/Xuan used two three-loop spirals.,"R1, R2","Turns must be swept directly because prior spiral DEP work shows voltage decreases with turn count, but extra turns may only add residence time."
eccentricity_e,0.50-1.00,0.65-1.00,dimensionless,Spiral reviews emphasize geometry/cross-section sensitivity; no exact live/dead spiral DEP eccentricity optimum is known.,R16,"Ellipticity is a controlled, formula-defined way to test compactness and curvature distribution without arbitrary curves."
channel_width,50-150,80-120,um,Betyar and Ramiar used 100 um channel width; Patel/Xuan used a 50 um first spiral.,"R1, R2",Width near 100 um is compatible with the spiral DEP precedent and with 20-25 um cells without excessive wall loss.
channel_height,25-100,40-75,um,"Nguyen et al. swept 25, 50, 75, and 100 um and reported 50 um as feasible in their DEP device.",R10,Height changes DEP field exposure and flow resistance; 40-75 um is a conservative first range.
inlet_velocity,800-5000,1000-3000,um/s,"Betyar and Ramiar swept 1000, 3000, and 5000 um/s.",R1,The model must include velocity because higher inlet velocity increases required voltage and reduces residence time.
flow_rate,0.1-10,0.2-3.0,uL/min,Elitas et al. tested 1-10 uL/min and selected 1 uL/min for dead-cell removal.,R5,Flow-rate targets should be feasible but not selected so low that the model becomes trivially deterministic.
voltage,4-25,6-22,V or Vpp depending on electrode convention,Elitas et al. used 20 Vpp; Huang ODEP swept 2-8 V; Nguyen swept 5-7 V; Betyar and Ramiar used threshold steps.,"R1, R5, R9, R10",Voltage must be optimized with heating and over-deflection checks rather than maximized.
frequency,50 kHz-3 MHz,100 kHz-1.5 MHz,Hz,Elitas et al. characterized 50 kHz-1 MHz and selected 300 kHz; Nguyen used 1 kHz for nDEP cell sorting.,"R5, R10",Frequency is required because live/dead DEP contrast is viability-dependent and can reverse or collapse outside the useful CM window.
electrode_gap,25-100,40-80,um,"Betyar and Ramiar used 100 um channel width with side-wall electrodes; Elitas used 50 um diameter, 100 um high 3D electrodes.","R1, R5",Gap is a field-strength control and a fabrication constraint; too small increases field and heating risks.
medium_conductivity,0.002-0.055,0.002-0.020,S/m,Elitas used 0.002 S/m medium; Nguyen used 55 mS/m PBS; Jiang et al. warn that high conductivity increases Joule heating/ACET.,"R5, R10, R15",Conductivity should be low in the first DEP model unless thermal/ACET coupling is explicitly included.
thermal_gate,DeltaT proxy <5; power proxy <10,DeltaT proxy <3; power proxy <5,"C, mW",Jiang et al. show Joule heating creates temperature gradients and ACET disturbance in DEP separation.,R15,Thermal constraints are used as gates so the optimizer cannot choose unrealistic voltage/conductivity combinations.
