case_id,turns,voltage_v,velocity_um_s,mean_correct,std_correct,min_correct,robust_score,mean_live_inner,mean_dead_outer,mean_wall_limited
turns_5_voltage_12_velocity_1000um_s,5.0,12.0,1000.0,0.8629999999999999,0.006708203932499375,0.855,0.8562917960675005,0.9899999999999999,0.736,89.4
turns_5_voltage_10_velocity_1000um_s,5.0,10.0,1000.0,0.8459999999999999,0.012942179105544797,0.825,0.833057820894455,0.9560000000000001,0.736,59.4
turns_4_voltage_12_velocity_1000um_s,4.0,12.0,1000.0,0.825,0.013693063937629136,0.81,0.8113069360623708,0.97,0.6799999999999999,69.0
turns_4_voltage_10_velocity_1000um_s,4.0,10.0,1000.0,0.799,0.021908902300206604,0.78,0.7770910976997935,0.9179999999999999,0.6799999999999999,38.6
turns_3_voltage_12_velocity_1000um_s,3.0,12.0,1000.0,0.7849999999999999,0.011726039399558585,0.775,0.7732739606004413,0.938,0.6319999999999999,42.4
turns_5_voltage_8_velocity_1000um_s,5.0,8.0,1000.0,0.7900000000000001,0.019685019685029545,0.76,0.7703149803149706,0.8440000000000001,0.736,23.4
turns_5_voltage_12_velocity_2000um_s,5.0,12.0,2000.0,0.774,0.015572411502397451,0.755,0.7584275884976026,0.9219999999999999,0.626,38.4
turns_3_voltage_10_velocity_1000um_s,3.0,10.0,1000.0,0.738,0.013509256086106309,0.725,0.7244907439138937,0.8440000000000001,0.6319999999999999,17.0
turns_4_voltage_12_velocity_2000um_s,4.0,12.0,2000.0,0.736,0.01341640786499875,0.725,0.7225835921350012,0.868,0.604,19.6
turns_4_voltage_8_velocity_1000um_s,4.0,8.0,1000.0,0.741,0.020124611797498124,0.72,0.7208753882025019,0.8019999999999999,0.6799999999999999,12.4
turns_5_voltage_10_velocity_2000um_s,5.0,10.0,2000.0,0.7309999999999999,0.017464249196573,0.71,0.7135357508034269,0.836,0.626,15.8
turns_5_voltage_12_velocity_3000um_s,5.0,12.0,3000.0,0.717,0.013038404810405309,0.705,0.7039615951895947,0.8440000000000001,0.5900000000000001,15.4
turns_4_voltage_10_velocity_2000um_s,4.0,10.0,2000.0,0.7,0.021505813167606542,0.68,0.6784941868323934,0.7959999999999999,0.604,6.8
turns_3_voltage_12_velocity_2000um_s,3.0,12.0,2000.0,0.6880000000000001,0.01923538406167131,0.67,0.6687646159383287,0.804,0.5720000000000001,7.6
turns_4_voltage_12_velocity_3000um_s,4.0,12.0,3000.0,0.6849999999999999,0.01999999999999997,0.67,0.6649999999999999,0.8,0.5700000000000001,6.4
turns_5_voltage_10_velocity_3000um_s,5.0,10.0,3000.0,0.672,0.021389249636207412,0.65,0.6506107503637927,0.754,0.5900000000000001,5.2
turns_3_voltage_8_velocity_1000um_s,3.0,8.0,1000.0,0.671,0.026786190471957724,0.65,0.6442138095280423,0.7100000000000001,0.6319999999999999,4.6
turns_5_voltage_8_velocity_2000um_s,5.0,8.0,2000.0,0.6609999999999999,0.023822258499143174,0.64,0.6371777415008567,0.696,0.626,3.6
turns_3_voltage_10_velocity_2000um_s,3.0,10.0,2000.0,0.633,0.026598872156540797,0.605,0.6064011278434592,0.6940000000000001,0.5720000000000001,2.0
turns_3_voltage_12_velocity_3000um_s,3.0,12.0,3000.0,0.625,0.02345207879911717,0.605,0.6015479212008829,0.7,0.55,2.0
turns_4_voltage_10_velocity_3000um_s,4.0,10.0,3000.0,0.6279999999999999,0.026598872156540797,0.6,0.6014011278434591,0.686,0.5700000000000001,2.0
turns_4_voltage_8_velocity_2000um_s,4.0,8.0,2000.0,0.634,0.033241540277189355,0.605,0.6007584597228106,0.6639999999999999,0.604,1.6
turns_5_voltage_8_velocity_3000um_s,5.0,8.0,3000.0,0.6180000000000001,0.03751666296460817,0.575,0.5804833370353919,0.646,0.5900000000000001,1.0
turns_3_voltage_10_velocity_3000um_s,3.0,10.0,3000.0,0.5980000000000001,0.034022051672408,0.56,0.5639779483275921,0.646,0.55,0.6
turns_3_voltage_8_velocity_2000um_s,3.0,8.0,2000.0,0.59,0.040773766075750215,0.55,0.5492262339242497,0.608,0.5720000000000001,0.0
turns_4_voltage_8_velocity_3000um_s,4.0,8.0,3000.0,0.5850000000000001,0.03952847075210473,0.545,0.5454715292478953,0.6,0.5700000000000001,0.0
turns_3_voltage_8_velocity_3000um_s,3.0,8.0,3000.0,0.5650000000000001,0.040155946010522504,0.53,0.5248440539894775,0.5800000000000001,0.55,0.0
