stage,sample_id,spiral_dep_on,straight_dep_on,spiral_flow_only,straight_flow_only,spiral_gain,dep_gain,synergy_score,spiral_wall_loss
baseline,135,0.575,0.54375,0.575,0.54375,0.03125,0.0,0.0,0.009375
baseline,136,0.5093749999999999,0.53125,0.5093749999999999,0.53125,-0.02187500000000009,0.0,-0.02187500000000009,0.0125
baseline,126,0.521875,0.54375,0.525,0.54375,-0.021874999999999978,-0.0031250000000000444,-0.021874999999999978,0.009375
inlet_focusing,59,0.74375,0.828125,0.5,0.5,-0.08437499999999998,0.24375000000000002,-0.08437499999999998,0.018750000000000003
inlet_focusing,82,0.684375,0.5,0.521875,0.5,0.18437499999999996,0.16249999999999998,0.16249999999999998,0.015625
inlet_focusing,71,0.696875,0.459375,0.5,0.503125,0.23750000000000004,0.19687500000000002,0.19687500000000002,0.04375
segmented_spiral,129,0.996875,0.934375,0.503125,0.490625,0.0625,0.4937499999999999,0.0625,0.003125
segmented_spiral,164,0.93125,0.753125,0.503125,0.465625,0.17812499999999998,0.428125,0.17812499999999998,0.0
segmented_spiral,140,0.95,0.846875,0.5,0.5,0.10312499999999991,0.44999999999999996,0.10312499999999991,0.0
